ID,影片,评分
0,“吃吃”的爱,2.485714286
1,22年后的自白：我是杀人犯,3.462616822
2,24小时：末路重生,2.5
3,3月的狮子 后篇,3.621359223
4,3月的狮子 前篇,3.582524272
5,7号室,2.953917051
6,BLAME!,3.684210526
7,JOJO的奇妙冒险：不灭钻石 第一章,2.880382775
8,P与JK,2.338235294
9,阿莉芙,3.042654028
10,阿唐奇遇,3.423255814
11,啊，荒野 后篇,3.990909091
12,啊，荒野 前篇,3.953488372
13,哀乐女子天团,3.309859155
14,艾娃,3.371559633
15,爱砸了,3.23923445
16,安娜贝尔2：诞生,3
17,暗黑女子,3.019047619
18,傲娇与偏见,2
19,奥斯曼中尉,2.723004695
20,巴霍巴利王(下)：终结,3.285714286
21,爸爸是女儿,3.257009346
22,百鸟朝凤,3.34562212
23,百日孤独,2.604651163
24,绑架,2.821656051
25,宝贝老板,3.375586854
26,保安官,2.96728972
27,报告老师！怪怪怪怪物！,2.940092166
28,暴雪将至,3.420560748
29,悲剧女孩,2.824074074
30,蝙蝠侠：煤气灯下的哥谭,3.157894737
31,变形金刚5：最后的骑士,2.136150235
32,表妹,2.555555556
33,表情奇幻冒险,2.391509434
34,别惹我,3.11
35,冰肤传说,3.023148148
36,冰果 真人版,2.314285714
37,玻璃城堡,3.521126761
38,伯德小姐,3.627118644
39,不干了，我开除了黑心公司,2.930232558
40,不汗党,3.328638498
41,仓皇一夜,2.617924528
42,厕所英雄,3.677966102
43,查尔斯三世,3.627358491
44,拆弹专家,2.995283019
45,常在你左右,2.425233645
46,超速驾驶,2.557692308
47,朝鲜名侦探：吸血怪魔的秘密,2.891566265
48,赤焰战场2,3.1875
49,初恋日记,2.661971831
50,春&夏事件簿,2.300970874
51,春娇救志明,3.438679245
52,春宵苦短，少女前进吧！,4.178403756
53,刺杀盖世太保,3.294392523
54,丛林,3.299539171
55,达拉斯买家俱乐部,4.25
56,打拳架,2.661971831
57,大佛普拉斯,4.051162791
58,大护法,3.449152542
59,大坏狐狸的故事,4
60,大明劫,4.025
61,大骚乱,3.193396226
62,大世界,3.319248826
63,大雪冬至,2.743589744
64,代立军,3
65,单身骑士,3.330143541
66,荡寇风云,2.899521531
67,盗潜黄金城,2.655172414
68,敌对区域,3.156682028
69,底特律,3.842592593
70,帝一之国,3.923444976
71,电锯惊魂8：竖锯,3.064814815
72,东北插班生,3.5
73,东方快车谋杀案,3.042253521
74,东京食尸鬼 真人版,2.587677725
75,动物园长的夫人,3.119815668
76,豆福传,2.928571429
77,毒。诫,2.160377358
78,独自在夜晚的海边,3.39047619
79,敦刻尔克,3.967741935
80,哆啦A梦：大雄的南极冰冰凉大冒险,3.223809524
81,恶女,2.87962963
82,二代妖精之今生有幸,2.820276498
83,反转人生,2.509259259
84,犯罪都市,3.3640553
85,方法派,2.976958525
86,方形,3.657407407
87,芳华,3.132701422
88,非凡任务,2.845070423
89,非正式特工,2.623762376
90,菲利普船长,3.888888889
91,菲洛梅娜,4.25
92,肥皂泡,3.619266055
93,疯狂父母,2.669724771
94,疯狂之家,2.473684211
95,冯梦龙传奇,3.136752137
96,缝纫机乐队,2.967592593
97,佛罗里达乐园,3.912442396
98,伏地魔：传人的起源,2.612149533
99,浮生梦,3.105263158
100,父子雄兵,2.079069767
101,复仇：一个爱情故事,3.201219512
102,复仇天使,2.810185185
103,钢之炼金术师,2.17961165
104,哥哥太爱我了怎么办,2.653658537
105,哥斯拉：怪兽行星,2.930555556
106,歌声不绝,2.57635468
107,公牛历险记,3.502304147
108,公园,3.103286385
109,攻壳机动队,3.154589372
110,宫合,2.802816901
111,怪奇秀,3.427230047
112,关原之战,3.348571429
113,光,3.176190476
114,光灵,2.875
115,光芒渐逝的年代,3.624161074
116,鬼话怪谈·祥云寺,3
117,海边的李尔,2.85
118,海边的生与死,2.607843137
119,海带,3.386046512
120,海角有个五店市,2.821596244
121,海滩的一天,4.19047619
122,海滩游侠,2.485981308
123,捍卫者,4.018779343
124,好时光,3.574074074
125,黑暗塔,2.168224299
126,黑蝴蝶,2.99537037
127,黑森灵,3.041666667
128,黑夜造访,3.00921659
129,黑子的篮球：最后的游戏,3.148148148
130,嗨翻姐妹行,3.066037736
131,亨利之书,3.028571429
132,红衣小女孩2,2.912442396
133,花容月貌,3.9
134,华盛顿邮报,3.896226415
135,坏妈妈的圣诞节,2.771028037
136,环太平洋,4.210526316
137,彗星来的那一夜,3.901869159
138,婚宴桌牌19号,2.928909953
139,机动战士高达THE ORIGIN V 激战 鲁姆战役篇,4.5
140,机器之血,2.334883721
141,畸形屋,3.060747664
142,极盗车神,3.535545024
143,极恶非道3,3.705426357
144,极寒之城,3.399061033
145,极速风流,4.399082569
146,记忆大师,3.088785047
147,记忆之夜,3.453703704
148,忌日快乐,3.417721519
149,寂静中的惊奇,2.947619048
150,加勒比海盗5：死无对证,3.367924528
151,加州公路巡警,3.218604651
152,嘉年华,3.953051643
153,坚强,3.205607477
154,缄默,2.378504673
155,鲛珠传,2
156,杰罗德游戏,3.165876777
157,捷德奥特曼 剧场版：连接吧！心愿！！,3.129496403
158,解冻,3.074074074
159,解忧杂货店,2.369863014
160,今天的吉良同学,2.948598131
161,今晚打丧尸,1.957746479
162,金刚：骷髅岛,3.214611872
163,金刚狼3：殊死一战,3.98156682
164,金色梦乡,2.775862069
165,京城81号2,1.752380952
166,惊天解密,2.876712329
167,精灵宝可梦：就决定是你了,3.616113744
168,敬畏,3.150943396
169,酒吧,2.972093023
170,酒会,3.483412322
171,救僵清道夫,2.455399061
172,巨额来电,2.781395349
173,绝密跟踪,3.7
174,绝世高手,2.920187793
175,军舰岛,3.461187215
176,军犬麦克斯2：白宫英雄,2.661870504
177,科洛弗悖论,2.598130841
178,空白的13年,3.673076923
179,空难余波,2.594470046
180,空手道,2.920560748
181,空天猎,2.25
182,空之境界 未来福音,4.454545455
183,苦难的收获,3.035714286
184,快乐结局,3.627358491
185,狂热郁金香,2.705607477
186,狂兽,2.488262911
187,窥镜,2.125
188,啦啦队之舞：女高中生用啦啦队舞蹈征服全美的真实故事,3.19047619
189,蜡笔小新：宇宙人来袭,3.171296296
190,辣手保姆,3.344036697
191,蓝精灵：寻找神秘村,3.133640553
192,浪矢解忧杂货店,3.268518519
193,老爸当家2,3.05
194,老师！我可以喜欢你吗？,2.894736842
195,老幸运,3.723300971
