影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
0.5毫米,安藤桃子,安藤桃子,安藤樱;织本顺吉;木内みどり;土屋希望;井上竜夫;东出昌大;柳原晴郎;角替和枝;浅田美代子;坂田利夫;柄本明;草笛光子;津川雅彦,剧情,日本,日语,2014-11-08(日本)
0.5的爱情,邢潇,白铭健;邢潇;苏芸萌,蒲巴甲;江语晨;李悦铭;龚洁,爱情,中国大陆,汉语普通话,2014-09-12(中国大陆)
007：幽灵党,萨姆·门德斯,约翰·洛根;尼尔·珀维斯;罗伯特·韦德;杰斯·巴特沃斯;伊恩·弗莱明,丹尼尔·克雷格;克里斯托弗·沃尔兹;蕾雅·赛杜;本·卫肖;娜奥米·哈里斯;戴夫·巴蒂斯塔;莫妮卡·贝鲁奇;拉尔夫·费因斯;斯黛芬妮·西格曼;安德鲁·斯科特;罗里·金奈尔;内芙·加切夫;加斯帕·克里斯滕森;丹尼尔·斯蒂森;丹尼尔·韦斯特伍德;拉斯科·阿特金斯,动作;惊悚;冒险,英国 / 美国,英语 / 西班牙语 / 意大利语 / 德语 / 法语,2015-11-13(中国大陆);2015-10-26(英国);2015-11-06(美国)
10分钟,李容承,Kim Hyemin,白钟焕;Jong-gu Kim;郑熙泰,剧情,韩国,韩语,2014-04-24
10年计划,J.C. Calciano,J.C. Calciano,杰克·特纳;迈克尔·亚当·汉密尔顿;内森·彼得森;泰瑞·里维斯;Moronai Kanekoa;Teri Reeves;Adam Bucci;Ben Palacios;Trevor Kuhn;Michael Rothhaar;黛布拉·威尔逊,喜剧;同性,美国,英语,2015-06-02(美国)
11-12-13至死不渝,Sarawut Wichiensarn,苏格拉瓦·卡那诺;Nutthasit Kotimanuswanich,苏格拉瓦·卡那诺;Nutthasit Kotimanuswanich;阿芮根妲·马哈乐沙空;Mek Mekwattana,喜剧;恐怖,泰国,泰语,2016-03-31(泰国)
11时,金炫锡,,郑在咏;金玉彬;丹尼尔·崔;李代延;朴哲民;申多恩;吴光禄,惊悚,韩国,韩语,2013-11-28(韩国)
127小时,丹尼·博伊尔,西蒙·博福伊;丹尼·博伊尔;阿龙·罗尔斯顿,詹姆斯·弗兰科;丽兹·卡潘;凯特·玛拉;爱波·塔布琳;克蕾曼丝·波西;特里特·威廉斯;凯特·伯顿;达林·绍瑟姆;彼得·约书亚·赫尔;肖恩·博特,剧情;传记;冒险,美国 / 英国,英语,2010-11-05(美国)
12回合3：致命禁闭,Stephen Reynolds,Nathan Brookes;Bobby Lee Darby,丹尼尔·库德摩尔;洛奇林·莫罗;罗杰·R.克劳斯;瑞贝卡·马绍尔;马修·哈里逊;Toby Levins;科尔比·莫罗,动作,美国,英语,2015-09-11
12岁的少年,迈克尔·科斯塔,安东尼·西皮阿诺,Conor Donovan;杰西·卡马乔;祖儿·魏泽鲍姆;杰瑞米·雷纳;安娜贝拉·莎拉,剧情,美国,英语,2005-09-11
12金鸭,邹凯光,邹凯光,吴君如;古天乐;刘浩龙;黄秋生;周柏豪;邵美君;郑欣宜;诗雅;卢觅雪;许绍雄;周秀娜;陈妍希;郭子健;陈奕迅;李若彤;任达华;姜皓文;蔡瀚亿;卢燕;姚家豪;王菀之;黄伟文;李拾壹;关楚耀;冼色丽;陈家乐;赵硕之;孙建宏;颜子菲;林兆霞;卢海鹏;薛凯琪;梁洛施;陈静;谢霆锋;容祖儿;阮兆祥;叶伟信;陆永;吴君祥;区永权;冯勉恒;赵薇;鹿晗;彭于晏,喜剧,香港,粤语 / 汉语普通话 / 英语 / 泰语,2015-02-19(香港)
13骇人游戏,Daniel Stamm,Daniel Stamm;David Birke,朗·普尔曼;马克·韦伯;普路特·泰勒·文斯;德文·格拉耶;卢蒂娜·卫斯理;布里特妮·阿尔格,惊悚;恐怖,美国,英语,2014-04-18
1922,扎克·希尔迪奇,扎克·希尔迪奇;斯蒂芬·金,托马斯·简;莫莉·帕克;迪兰·施密德;凯特琳·伯纳德;尼尔·麦克唐纳;坦娅·钱普;布莱恩·达西·詹姆斯;鲍勃·弗雷泽;埃里克·李塞德;皮特·纽;布鲁斯·布莱恩;格雷姆·达菲,剧情;恐怖;犯罪,美国,英语,2017-09-23(奇幻电影节);2017-10-20(美国)
1980年代的爱情,霍建起,郑世平,芦芳生;杨采钰,爱情,中国大陆,汉语普通话,2015-09-11(中国大陆)
1995穿越时间,Yanyong Kuruaungkoul,,平采娜·乐维瑟派布恩;Dan Aaron Ramnarong;Achita Pramoj Na Ayudhya,喜剧;爱情;音乐,泰国,泰语,2015-03-19
2016：夜之尽头,Tim Fehlbaum,Tim Fehlbaum,Hannah Herzsprung;Stipe Erceg;Angela Winkler;Lars Eidinger;Lisa Vicari;Michael Kranz;Lilo Baur;Anne Sarah Hartung;Christoph Gaugler,科幻,德国,德语,2011-09-22(德国)
22年后的自白：我是杀人犯,入江悠,入江悠;平田研也;郑秉吉,藤原龙也;伊藤英明;夏帆;野村周平;石桥杏奈;龙星凉;早乙女太一;平田满;岩松了;岩城滉一;仲村亨,剧情;悬疑;犯罪,日本,日语,2017-06-10(日本)
234说爱你,张玮真,吴美枝,秦昊;林依晨;简宏霖;蔡淑臻;周姮吟;曾珮瑜,爱情,台湾,汉语普通话,2016-09-23(中国大陆);2015-10-23(台湾)
24小时：末路重生,布莱恩·斯莫兹,扎克·迪恩;吉姆·麦克莱恩;罗恩 ·米塔,伊桑·霍克;许晴;保罗·安德森;鲁特格尔·哈尔;利亚姆·坎宁安;娜塔莉·博尔特;坦娅·范·格拉恩;哈基姆·凯-卡西姆;珍娜·厄普顿;艾丹·怀托克;蒂龙·基奥;杰瑞米·杨;苏珊·玲·杨;理查德·洛锡安;比约恩·施泰因巴赫;布兰登·默雷;安德鲁·莫尔加多;杰森·梅德;加里·格鲁森;亚历克斯·安洛斯;谢恩·约翰·克鲁格,动作;科幻;惊悚;犯罪,美国 / 中国大陆 / 南非,英语 / 汉语普通话,2018-01-26(中国大陆);2017-10-26(奥斯汀电影节)
24：逆转时空,维克拉姆·库马尔,维克拉姆·库马尔,苏利耶·西瓦库马;萨曼莎·鲁斯·帕布;内森·梅农,动作;爱情;科幻,印度,泰米尔语,2016-05-06(印度)
26年,曹根贤,江草,晋久;任瑟雍;韩惠珍,剧情,韩国,韩语,2012-11-29(韩国)
26种死法2.5：M号档案,崔维斯·贝茨;Zac Blair;Ryan Bosworth;Peter Czikrai;Steve Daniels;Baris Erdogan;Carlos Faria;托德·E·弗里曼;Rodrigo Gasparini;Brett Glassberg;尼古拉斯·亨弗里斯;Summer Johnson;Clint Kelly;Cody Kennedy;Jason M. Koch;Ama Lea;Wolfgang Matzl;álvaro Nú?ez;Eric Pennycoff;Peter Podgursky;Mia Kate Russell;Tim Rutherford;Gigi Saul Guerrero;Michael Schwartz;Stuart Simpson;Jeff Stewart;Christopher Younes;Dante Vescio;卡莱斯·托伦斯;Lloyd Staszkiewicz;Joe Staszkiewicz,托德·E·弗里曼;Clint Kelly;Cody Kennedy;Jason M. Koch;Kevin Martin;Shane McKenzie;Robert Phelps;Mia Kate Russell;Tim Rutherford;Tom Stas;Jeff Stewart;鲍勃·伍尔西,Ali Arslan;Ilker Arslan;Anastasia Baranova;Dani Barker;John Beck;Beat Billson;David Blanka;Juan Bravo Jr.;Wesley Braxton;Don Bridges;Kevin Byrd;朱迪特·巴多斯;Ken Campbell;Josh Christensen;John Cianciolo;Josh Collins;Mace Coronel;露辛达·科尔登;娜塔丽·维多利亚;保罗·沃伦;巴德·沃森,喜剧;恐怖,美国,英语,2016-08-02(美国)
28岁未成年,张末,张末;张弘毅;张影;翟嘟;田金,倪妮;霍建华;马苏;王大陆;潘斌龙;隋凯;刘冰;余心恬;汪汐潮;来喜;曲哲明,喜剧;爱情;奇幻,中国大陆,汉语普通话,2016-12-09(中国大陆)
29+1,彭秀慧,彭秀慧,周秀娜;郑欣宜;蔡瀚亿;杨尚斌;金燕玲;赖慰玲;汤怡;郑丹瑞;葛民辉;林海峰;张国强;王宗尧;周家怡;梁祖尧,剧情;爱情,香港,粤语,2017-06-02(中国大陆);2016-10-31(香港亚洲电影节);2017-05-11(香港)
3月的狮子 前篇,大友启史,岩下悠子;渡部亮平;大友启史;羽海野千花,神木隆之介;有村架纯;仓科加奈;染谷将太;清原果耶;佐佐木藏之介;加濑亮;前田吟;高桥一生;岩松了;齐木茂;中村伦也;尾上寛之;奥野瑛太;甲本雅裕;新津知世;板谷由夏;伊藤英明;丰川悦司,剧情,日本,日语,2017-03-18(日本)
